"","interval","steps","hour","minute","timeStr","time"
"1",0,1.71698113207547,"00","00","00:00",2015-12-20 00:00:00
"2",5,0.339622641509434,"00","05","00:05",2015-12-20 00:05:00
"3",10,0.132075471698113,"00","10","00:10",2015-12-20 00:10:00
"4",15,0.150943396226415,"00","15","00:15",2015-12-20 00:15:00
"5",20,0.0754716981132075,"00","20","00:20",2015-12-20 00:20:00
"6",25,2.09433962264151,"00","25","00:25",2015-12-20 00:25:00
"7",30,0.528301886792453,"00","30","00:30",2015-12-20 00:30:00
"8",35,0.867924528301887,"00","35","00:35",2015-12-20 00:35:00
"9",40,0,"00","40","00:40",2015-12-20 00:40:00
"10",45,1.47169811320755,"00","45","00:45",2015-12-20 00:45:00
"11",50,0.30188679245283,"00","50","00:50",2015-12-20 00:50:00
"12",55,0.132075471698113,"00","55","00:55",2015-12-20 00:55:00
"13",100,0.320754716981132,"01","00","01:00",2015-12-20 01:00:00
"14",105,0.679245283018868,"01","05","01:05",2015-12-20 01:05:00
"15",110,0.150943396226415,"01","10","01:10",2015-12-20 01:10:00
"16",115,0.339622641509434,"01","15","01:15",2015-12-20 01:15:00
"17",120,0,"01","20","01:20",2015-12-20 01:20:00
"18",125,1.11320754716981,"01","25","01:25",2015-12-20 01:25:00
"19",130,1.83018867924528,"01","30","01:30",2015-12-20 01:30:00
"20",135,0.169811320754717,"01","35","01:35",2015-12-20 01:35:00
"21",140,0.169811320754717,"01","40","01:40",2015-12-20 01:40:00
"22",145,0.377358490566038,"01","45","01:45",2015-12-20 01:45:00
"23",150,0.264150943396226,"01","50","01:50",2015-12-20 01:50:00
"24",155,0,"01","55","01:55",2015-12-20 01:55:00
"25",200,0,"02","00","02:00",2015-12-20 02:00:00
"26",205,0,"02","05","02:05",2015-12-20 02:05:00
"27",210,1.13207547169811,"02","10","02:10",2015-12-20 02:10:00
"28",215,0,"02","15","02:15",2015-12-20 02:15:00
"29",220,0,"02","20","02:20",2015-12-20 02:20:00
"30",225,0.132075471698113,"02","25","02:25",2015-12-20 02:25:00
"31",230,0,"02","30","02:30",2015-12-20 02:30:00
"32",235,0.226415094339623,"02","35","02:35",2015-12-20 02:35:00
"33",240,0,"02","40","02:40",2015-12-20 02:40:00
"34",245,0,"02","45","02:45",2015-12-20 02:45:00
